Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,Relative Time,cluster,dbscan_cluster,anomaly
192.168.29.59,192.168.29.1,TCP,62915,53,109,1750930526.424574,0,0,1
192.168.29.59,192.168.29.1,TCP,62916,53,109,1750930526.424712,0,0,1
192.168.29.59,192.168.29.1,TCP,62917,53,109,1750930526.424836,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62915,54,1750930526.432162,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62916,54,1750930526.437897,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62917,54,1750930526.439449,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62917,55,1750930526.463263,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62916,55,1750930526.463263,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62915,55,1750930526.463263,0,0,1
192.168.29.59,192.168.29.1,TCP,62917,53,54,1750930526.512086,0,0,1
192.168.29.59,192.168.29.1,TCP,62916,53,54,1750930526.512259,0,0,1
192.168.29.59,192.168.29.1,TCP,62915,53,54,1750930526.512355,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62917,165,1750930526.514239,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62916,364,1750930526.514556,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62915,220,1750930526.514556,0,0,1
192.168.29.59,192.168.29.1,TCP,62917,53,54,1750930526.515017,0,0,1
192.168.29.59,192.168.29.1,TCP,62915,53,54,1750930526.515812,0,0,1
192.168.29.59,192.168.29.1,TCP,62916,53,54,1750930526.516019,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62917,54,1750930526.51943,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62915,54,1750930526.51943,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62916,54,1750930526.51943,0,0,1
192.168.29.59,192.168.29.1,TCP,62917,53,54,1750930526.520086,0,0,1
192.168.29.59,192.168.29.1,TCP,62915,53,54,1750930526.520119,0,0,1
192.168.29.59,192.168.29.1,TCP,62916,53,54,1750930526.52024,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,132,1750930526.557164,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,381,1750930526.557524,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930526.614782,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930526.614782,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,268,1750930526.615089,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930526.615348,0,0,1
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930526.625349,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930526.721714,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,147,1750930526.722082,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930526.779034,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930526.779034,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,254,1750930526.779573,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930526.779825,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930527.360251,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,180,1750930527.361223,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930527.419504,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930527.419504,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,256,1750930527.419504,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930527.420248,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930527.525109,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,210,1750930527.525573,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,132,1750930527.526389,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,788,1750930527.526974,1,0,-1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930527.583042,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,122,1750930527.583042,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,256,1750930527.584267,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,268,1750930527.584267,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930527.58464,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930527.629791,0,0,1
192.168.29.59,192.168.29.1,TCP,62919,53,66,1750930527.708406,0,0,1
192.168.29.59,192.168.29.1,TCP,62920,53,66,1750930527.708978,0,0,1
192.168.29.59,192.168.29.1,TCP,62921,53,66,1750930527.709485,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62919,66,1750930527.72007,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62920,66,1750930527.72007,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62921,66,1750930527.72007,0,0,1
192.168.29.59,192.168.29.1,TCP,62919,53,54,1750930527.720853,0,0,1
192.168.29.59,192.168.29.1,TCP,62920,53,54,1750930527.721052,0,0,1
192.168.29.59,192.168.29.1,TCP,62921,53,54,1750930527.721127,0,0,1
192.168.29.59,192.168.29.1,TCP,62920,53,98,1750930527.721651,0,0,1
192.168.29.59,192.168.29.1,TCP,62919,53,98,1750930527.721743,0,0,1
192.168.29.59,192.168.29.1,TCP,62921,53,98,1750930527.722102,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62920,54,1750930527.729683,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62919,54,1750930527.73045,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62921,54,1750930527.732134,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930527.742266,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,243,1750930527.742663,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62919,55,1750930527.751075,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62920,55,1750930527.757176,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62921,55,1750930527.760656,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930527.798525,0,0,1
192.168.29.59,192.168.29.1,TCP,62919,53,54,1750930527.798913,0,0,1
192.168.29.59,192.168.29.1,TCP,62920,53,54,1750930527.79907,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930527.800239,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,258,1750930527.800239,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930527.800751,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,132,1750930527.801117,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,236,1750930527.801486,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62919,154,1750930527.805312,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62920,113,1750930527.805312,0,0,1
192.168.29.59,192.168.29.1,TCP,62920,53,54,1750930527.806572,0,0,1
192.168.29.59,192.168.29.1,TCP,62919,53,54,1750930527.806819,0,0,1
192.168.29.59,192.168.29.1,TCP,62921,53,54,1750930527.807071,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62920,54,1750930527.810105,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62921,122,1750930527.810105,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62919,54,1750930527.810105,0,0,1
192.168.29.59,192.168.29.1,TCP,62920,53,54,1750930527.81076,0,0,1
192.168.29.59,192.168.29.1,TCP,62919,53,54,1750930527.810869,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,66,1750930527.811729,0,0,1
192.168.29.59,192.168.29.1,TCP,62921,53,54,1750930527.81217,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62921,54,1750930527.817056,0,0,1
